"Fusions"	"DB"	"Jackson"	"Fusion"	"Cosmic"	"Count"
"1"	"14Sep--FLJ45340"	0	0	7	0	7
"2"	"14Sep--RPL23AP53"	0	0	1	0	1
"3"	"1Sep--ZSWIM1"	0	0	7	0	7
"4"	"3Mar--SKP1"	0	0	1	0	1
"5"	"7Sep--SEPT7P2"	0	0	1	0	1
"6"	"8Mar--AC004129.7"	0	0	2	0	2
"7"	"9Sep--C3"	0	0	1	0	1
"8"	"A1BG--A1BG"	1	0	0	0	1
"9"	"A1CF--A1CF"	1	0	0	0	1
"10"	"A1CF--ANKDD1A"	1	0	0	0	1
"11"	"A2LD1--DCLK1"	1	1	0	0	2
"12"	"A2LD1--INCA1"	0	1	0	0	1
"13"	"A2LD1--KIAA0226L"	1	0	0	0	1
"14"	"A2LD1--PCCA"	1	0	0	0	1
"15"	"A2M--A1BG"	0	0	1	0	1
"16"	"A2M--A2M"	2	0	0	0	2
"17"	"A2M--ABP1"	0	0	1	0	1
"18"	"A2M--ABR"	0	0	1	0	1
"19"	"A2M--AFMID"	1	0	0	0	1
"20"	"A2M--ALDH5A1"	0	0	1	0	1
"21"	"A2M--ANKRD6"	0	0	1	0	1
"22"	"A2M--ARFGEF2"	1	1	0	0	2
"23"	"A2M--ATXN3"	0	0	1	0	1
"24"	"A2M--BAHD1"	0	0	2	0	2
"25"	"A2M--BRD7"	0	0	1	0	1
"26"	"A2M--C13orf40"	0	0	1	0	1
"27"	"A2M--C1QTNF6"	0	0	1	0	1
"28"	"A2M--C2orf16"	0	0	1	0	1
"29"	"A2M--C2orf39"	0	0	1	0	1
"30"	"A2M--C3orf54"	0	0	1	0	1
"31"	"A2M--C8orf34"	0	0	1	0	1
"32"	"A2M--C9orf114"	0	0	1	0	1
"33"	"A2M--CCT5"	0	1	0	0	1
"34"	"A2M--CHL1"	0	0	1	0	1
"35"	"A2M--CNP"	0	0	1	0	1
"36"	"A2M--CPAMD8"	0	0	4	0	4
"37"	"A2M--CSRNP3"	0	0	1	0	1
"38"	"A2M--CYB561"	0	0	1	0	1
"39"	"A2M--DCLK1"	0	0	1	0	1
"40"	"A2M--DGAT1"	0	0	1	0	1
"41"	"A2M--DNAJA4"	0	0	1	0	1
"42"	"A2M--DNAJB7"	0	0	1	0	1
"43"	"A2M--EMILIN2"	0	0	1	0	1
"44"	"A2M--ENTPD4"	0	0	1	0	1
"45"	"A2M--EPN2"	1	0	0	0	1
"46"	"A2M--EXD1"	0	0	1	0	1
"47"	"A2M--FAR1"	1	1	0	0	2
"48"	"A2M--GEM"	0	0	1	0	1
"49"	"A2M--HDX"	0	0	1	0	1
"50"	"A2M--HNRNPD"	0	0	1	0	1
"51"	"A2M--INVS"	0	0	1	0	1
"52"	"A2M--ITCH"	0	0	1	0	1
"53"	"A2M--KALRN"	0	0	1	0	1
"54"	"A2M--KIAA1210"	0	0	1	0	1
"55"	"A2M--KIAA1430"	0	0	1	0	1
"56"	"A2M--KIF5C"	0	0	2	0	2
"57"	"A2M--KIFC3"	0	0	1	0	1
"58"	"A2M--KLHDC8B"	0	0	1	0	1
"59"	"A2M--LARGE"	0	0	2	0	2
"60"	"A2M--LOC285548"	0	0	1	0	1
"61"	"A2M--LPIN2"	0	0	1	0	1
"62"	"A2M--MAPT"	0	0	1	0	1
"63"	"A2M--MED23"	0	0	1	0	1
"64"	"A2M--MIAT"	0	0	1	0	1
"65"	"A2M--MST4"	0	0	1	0	1
"66"	"A2M--NAA11"	0	0	1	0	1
"67"	"A2M--NEB"	0	0	1	0	1
"68"	"A2M--NME4"	0	0	1	0	1
"69"	"A2M--NSUN2"	0	0	1	0	1
"70"	"A2M--PABPN1"	0	0	1	0	1
"71"	"A2M--PIP5K1P1"	0	0	1	0	1
"72"	"A2M--PLEKHA5"	0	0	1	0	1
"73"	"A2M--PNMA2"	0	0	1	0	1
"74"	"A2M--PRC1"	0	0	1	0	1
"75"	"A2M--PZP"	0	0	21	0	21
"76"	"A2M--RASGEF1C"	0	0	1	0	1
"77"	"A2M--REG3G"	0	0	1	0	1
