"Fusions"	"DB"	"Jackson"	"Fusion"	"Cosmic"	"ChiTaRS"	"TICdb"	"ConjoinG"	"Count"
"A1BG--A1BG"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A1CF--A1CF"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A1CF--ANKDD1A"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A2LD1--DCLK1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"A2LD1--KIAA0226L"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A2LD1--PCCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A2M--A2M"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"A2M--AFMID"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A2M--ARFGEF2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"A2M--EPN2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A2M--FAR1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"A2ML1--RBM39"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A2ML1--SNX29"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"A4GALT--CYB5R3"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"39"
"AAAS--C15orf39"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAAS--FKBP6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAAS--KDM2A"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAAS--MAOB"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAAS--ZNF414"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AACS--FBN1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AACS--MAL"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AAGAB--AAGAB"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"AAK1--ANXA4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAK1--C2orf42"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AAK1--FNTA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAK1--KCMF1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AAK1--NOP58"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAK1--PDZRN4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAK1--UBE2E2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAK1--USP19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAMDC--TENM4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AAMP--4.Mar"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AARS--AARS"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AARS--ABR"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AARS--COG4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"AARS--GPX3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AARS--HYDIN"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AARS--ITPR3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AARS--LHFP"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
